BufferSize; BlockSize; Velocity
262144; 256; 2701164
262144; 512; 5752998
262144; 1024; 11805629
262144; 2048; 22681721
262144; 4096; 52240733
262144; 8192; 87454211
262144; 16384; 169782383
262144; 32768; 376914450
262144; 65536; 552463645
524288; 256; 2862709
524288; 512; 5679490
524288; 1024; 11861316
524288; 2048; 23008206
524288; 4096; 45645829
524288; 8192; 87585699
524288; 16384; 169947487
524288; 32768; 310505182
524288; 65536; 660312342
524288; 131072; 804739831
1048576; 256; 2886241
1048576; 512; 5784560
1048576; 1024; 11653952
1048576; 2048; 23027912
1048576; 4096; 46160239
1048576; 8192; 86402109
1048576; 16384; 165442726
1048576; 32768; 307951835
1048576; 65536; 574562191
1048576; 131072; 922636163
1048576; 262144; 1188861678
2097152; 256; 2869813
2097152; 512; 5519155
2097152; 1024; 11403421
2097152; 2048; 22488480
2097152; 4096; 44084210
2097152; 8192; 86014068
2097152; 16384; 167953549
2097152; 32768; 280274239
2097152; 65536; 492693997
2097152; 131072; 861784261
2097152; 262144; 1393919574
2097152; 524288; 1022003898
4194304; 256; 2873399
4194304; 512; 5720288
4194304; 1024; 11567350
4194304; 2048; 22904737
4194304; 4096; 45087437
4194304; 8192; 85437627
4194304; 16384; 150779329
4194304; 32768; 291635655
4194304; 65536; 488391243
4194304; 131072; 817523438
4194304; 262144; 1445314955
4194304; 524288; 1620673879
4194304; 1048576; 747781066
8388608; 256; 2857031
8388608; 512; 5559423
8388608; 1024; 11284004
8388608; 2048; 22063236
8388608; 4096; 43511860
8388608; 8192; 80383374
8388608; 16384; 150077967
8388608; 32768; 257968140
8388608; 65536; 460495045
8388608; 131072; 769773617
8388608; 262144; 1507657800
8388608; 524288; 1376083989
8388608; 1048576; 1272543689
8388608; 2097152; 696988741
16777216; 256; 2835788
16777216; 512; 5638333
16777216; 1024; 11311850
16777216; 2048; 22727811
16777216; 4096; 44163178
16777216; 8192; 83785118
16777216; 16384; 152211571
16777216; 32768; 255769738
16777216; 65536; 476469789
16777216; 131072; 812554352
16777216; 262144; 1298546130
16777216; 524288; 1369065730
16777216; 1048576; 1402718615
16777216; 2097152; 1460030980
16777216; 4194304; 788588296
33554432; 256; 2871397
33554432; 512; 5636877
33554432; 1024; 11152891
33554432; 2048; 21388488
33554432; 4096; 39818758
33554432; 8192; 73315217
33554432; 16384; 128835001
33554432; 32768; 214744928
33554432; 65536; 357038008
33554432; 131072; 585837558
33554432; 262144; 870684311
33554432; 524288; 976029553
33554432; 1048576; 1053514348
33554432; 2097152; 1011818529
33554432; 4194304; 1012872253
33554432; 8388608; 749133352
67108864; 256; 2880617
67108864; 512; 5647447
67108864; 1024; 11011858
67108864; 2048; 20995944
67108864; 4096; 38825857
67108864; 8192; 72955558
67108864; 16384; 129250128
67108864; 32768; 212448146
67108864; 65536; 356906038
67108864; 131072; 576318779
67108864; 262144; 855451206
67108864; 524288; 961727498
67108864; 1048576; 1084088363
67108864; 2097152; 1021739376
67108864; 4194304; 1135100834
67108864; 8388608; 1097231352
67108864; 16777216; 892992914
134217728; 256; 2851898
134217728; 512; 5629259
134217728; 1024; 11045203
134217728; 2048; 21280450
134217728; 4096; 39995031
134217728; 8192; 73506723
134217728; 16384; 131367705
134217728; 32768; 218623243
134217728; 65536; 360096606
134217728; 131072; 621238879
134217728; 262144; 859915288
134217728; 524288; 993877781
134217728; 1048576; 1089818831
134217728; 2097152; 1222639787
134217728; 4194304; 1213240179
134217728; 8388608; 1209419321
134217728; 16777216; 1247278123
134217728; 33554432; 1117745217
268435456; 256; 2854602
268435456; 512; 5600224
268435456; 1024; 10802538
268435456; 2048; 20560275
268435456; 4096; 37986572
268435456; 8192; 71232986
268435456; 16384; 129943811
268435456; 32768; 227150798
268435456; 65536; 376666932
268435456; 131072; 601169608
268435456; 262144; 877644457
268435456; 524288; 1076314214
268435456; 1048576; 1130147484
268435456; 2097152; 1148070183
268435456; 4194304; 1274132247
268435456; 8388608; 1241991995
268435456; 16777216; 1265074171
268435456; 33554432; 1256911543
268435456; 67108864; 1075378550
Threaded CSV generated with success
