BufferSize; BlockSize; Velocity
262144; 256; 5981199
262144; 512; 11946861
262144; 1024; 22350072
262144; 2048; 40921635
262144; 4096; 70677810
262144; 8192; 153390286
262144; 16384; 320861689
262144; 32768; 590414414
262144; 65536; 926303886
524288; 256; 5704456
524288; 512; 12753296
524288; 1024; 24342464
524288; 2048; 43511183
524288; 4096; 92190610
524288; 8192; 183189378
524288; 16384; 357387866
524288; 32768; 664075997
524288; 65536; 1012138996
524288; 131072; 1227840749
1048576; 256; 5924643
1048576; 512; 11794143
1048576; 1024; 22500665
1048576; 2048; 46744650
1048576; 4096; 91255907
1048576; 8192; 185736604
1048576; 16384; 347786401
1048576; 32768; 650078115
1048576; 65536; 1111368309
1048576; 131072; 1245339667
1048576; 262144; 1512005767
2097152; 256; 5856126
2097152; 512; 11655279
2097152; 1024; 24876952
2097152; 2048; 48939990
2097152; 4096; 85889011
2097152; 8192; 170798713
2097152; 16384; 303935072
2097152; 32768; 662816687
2097152; 65536; 1198030277
2097152; 131072; 1723922729
2097152; 262144; 1941807407
2097152; 524288; 1563871737
4194304; 256; 5945639
4194304; 512; 11831955
4194304; 1024; 24703546
4194304; 2048; 49004317
4194304; 4096; 91853448
4194304; 8192; 181159874
4194304; 16384; 308155462
4194304; 32768; 586124091
4194304; 65536; 1348434013
4194304; 131072; 1584250802
4194304; 262144; 2261689943
4194304; 524288; 2338613883
4194304; 1048576; 1878747592
8388608; 256; 5964965
8388608; 512; 11703869
8388608; 1024; 23595551
8388608; 2048; 46080871
8388608; 4096; 93621289
8388608; 8192; 173896805
8388608; 16384; 364674520
8388608; 32768; 543902483
8388608; 65536; 981755281
8388608; 131072; 1683276412
8388608; 262144; 1987586304
8388608; 524288; 1923551479
8388608; 1048576; 2109015210
8388608; 2097152; 1705001626
16777216; 256; 5946513
16777216; 512; 11788570
16777216; 1024; 23509568
16777216; 2048; 46348717
16777216; 4096; 88329030
16777216; 8192; 180151253
16777216; 16384; 309046659
16777216; 32768; 598203522
16777216; 65536; 958314731
16777216; 131072; 1700766992
16777216; 262144; 1940123272
16777216; 524288; 2531454696
16777216; 1048576; 1830574577
16777216; 2097152; 2226571466
16777216; 4194304; 1605782542
33554432; 256; 5922269
33554432; 512; 11728203
33554432; 1024; 23292307
33554432; 2048; 46026133
33554432; 4096; 88134840
33554432; 8192; 169975897
33554432; 16384; 315727672
33554432; 32768; 512430048
33554432; 65536; 784266077
33554432; 131072; 1123104513
33554432; 262144; 1376620320
33554432; 524288; 1481857133
33554432; 1048576; 1279311893
33554432; 2097152; 1285635050
33554432; 4194304; 1227414064
33554432; 8388608; 1042921410
67108864; 256; 5914962
67108864; 512; 11733517
67108864; 1024; 23320559
67108864; 2048; 45331529
67108864; 4096; 87054990
67108864; 8192; 165384014
67108864; 16384; 302354149
67108864; 32768; 533830215
67108864; 65536; 800215397
67108864; 131072; 1131512316
67108864; 262144; 1314777320
67108864; 524288; 1409405943
67108864; 1048576; 1315421604
67108864; 2097152; 1304807590
67108864; 4194304; 1255779640
67108864; 8388608; 1261029999
67108864; 16777216; 1002455227
134217728; 256; 5886791
134217728; 512; 11644985
134217728; 1024; 23060809
134217728; 2048; 44853619
134217728; 4096; 87702624
134217728; 8192; 164073933
134217728; 16384; 299912134
134217728; 32768; 542320144
134217728; 65536; 805350662
134217728; 131072; 1138890941
134217728; 262144; 1516301796
134217728; 524288; 1458610894
134217728; 1048576; 1385737952
134217728; 2097152; 1372250141
134217728; 4194304; 1381281355
134217728; 8388608; 1415806285
134217728; 16777216; 1216903181
134217728; 33554432; 1068544423
268435456; 256; 5894554
268435456; 512; 11699716
268435456; 1024; 23253029
268435456; 2048; 45510003
268435456; 4096; 87344641
268435456; 8192; 166772359
268435456; 16384; 304340135
268435456; 32768; 506796588
268435456; 65536; 794474502
268435456; 131072; 1112427606
268435456; 262144; 1282609679
268435456; 524288; 1308346705
268435456; 1048576; 1332070197
268435456; 2097152; 1373847908
268435456; 4194304; 1422423289
268435456; 8388608; 1443643783
268435456; 16777216; 1359531702
268435456; 33554432; 1274567829
268435456; 67108864; 1094993457
