BufferSize; BlockSize; Velocity
262144; 256; 21634397
262144; 512; 47050883
262144; 1024; 106368025
262144; 2048; 208133386
262144; 4096; 381855790
262144; 8192; 673892030
262144; 16384; 936228571
262144; 32768; 1194277904
262144; 65536; 1628223602
262144; 131072; 1675041533
262144; 262144; 1432480874
524288; 256; 22703821
524288; 512; 40869002
524288; 1024; 85780104
524288; 2048; 158156259
524288; 4096; 304730020
524288; 8192; 561636850
524288; 16384; 951520871
524288; 32768; 1643536050
524288; 65536; 2289467248
524288; 131072; 2388555808
524288; 262144; 2928983240
524288; 524288; 1297742574
1048576; 256; 24292836
1048576; 512; 44751653
1048576; 1024; 98443975
1048576; 2048; 164766813
1048576; 4096; 231806344
1048576; 8192; 620092253
1048576; 16384; 1039738225
1048576; 32768; 1675041533
1048576; 65536; 2377723356
1048576; 131072; 2748560943
1048576; 262144; 3578757679
1048576; 524288; 2095056943
1048576; 1048576; 1009216554
2097152; 256; 23099567
2097152; 512; 44755951
2097152; 1024; 88932086
2097152; 2048; 166539765
2097152; 4096; 301965730
2097152; 8192; 738824026
2097152; 16384; 1059167676
2097152; 32768; 1450312586
2097152; 65536; 2678355044
2097152; 131072; 3123085629
2097152; 262144; 3355443200
2097152; 524288; 2603540657
2097152; 1048576; 2195970680
2097152; 2097152; 690420411
4194304; 256; 23145265
4194304; 512; 44150336
4194304; 1024; 90083848
4194304; 2048; 171483053
4194304; 4096; 282273638
4194304; 8192; 630959608
4194304; 16384; 938113173
4194304; 32768; 1684121260
4194304; 65536; 2174904848
4194304; 131072; 4126221347
4194304; 262144; 3324854538
4194304; 524288; 2846490668
4194304; 1048576; 2353705948
4194304; 2097152; 2200002098
4194304; 4194304; 810180413
8388608; 256; 24292801
8388608; 512; 45572923
8388608; 1024; 103471087
8388608; 2048; 164030621
8388608; 4096; 341945540
8388608; 8192; 561636850
8388608; 16384; 1037295412
8388608; 32768; 1355296550
8388608; 65536; 2149271842
8388608; 131072; 3304553082
8388608; 262144; 3267228042
8388608; 524288; 2907663084
8388608; 1048576; 2510431841
8388608; 2097152; 2553221123
8388608; 4194304; 1918492395
8388608; 8388608; 908300362
16777216; 256; 24210210
16777216; 512; 44829379
16777216; 1024; 88675440
16777216; 2048; 177809506
16777216; 4096; 312282403
16777216; 8192; 596205259
16777216; 16384; 1043618810
16777216; 32768; 1604553940
16777216; 65536; 2173918496
16777216; 131072; 2398629780
16777216; 262144; 3028378339
16777216; 524288; 3132415235
16777216; 1048576; 3019113910
16777216; 2097152; 2965744387
16777216; 4194304; 2674938775
16777216; 8388608; 1945410018
16777216; 16777216; 951224153
33554432; 256; 23804222
33554432; 512; 44567923
33554432; 1024; 85882306
33554432; 2048; 160762897
33554432; 4096; 287880024
33554432; 8192; 485213176
33554432; 16384; 793070870
33554432; 32768; 1084973469
33554432; 65536; 1382633125
33554432; 131072; 1785237530
33554432; 262144; 1897928787
33554432; 524288; 1691166372
33554432; 1048576; 2035020286
33554432; 2097152; 1501888055
33554432; 4194304; 1530767883
33554432; 8388608; 1428638480
33554432; 16777216; 1298923139
33554432; 33554432; 1082575641
67108864; 256; 23262082
67108864; 512; 45124925
67108864; 1024; 88506857
67108864; 2048; 160122889
67108864; 4096; 286543883
67108864; 8192; 483491514
67108864; 16384; 833567645
67108864; 32768; 1040746012
67108864; 65536; 1625423595
67108864; 131072; 1689505903
67108864; 262144; 1983327590
67108864; 524288; 1990504501
67108864; 1048576; 1892950016
67108864; 2097152; 1599963379
67108864; 4194304; 1621241595
67108864; 8388608; 1607301694
67108864; 16777216; 1489223176
67108864; 33554432; 1380556757
67108864; 67108864; 1210160834
134217728; 256; 23572771
134217728; 512; 44636712
134217728; 1024; 86537452
134217728; 2048; 164315576
134217728; 4096; 286390111
134217728; 8192; 515467663
134217728; 16384; 754280075
134217728; 32768; 1030395160
134217728; 65536; 1555354115
134217728; 131072; 1803201913
134217728; 262144; 2056740267
134217728; 524288; 2104963387
134217728; 1048576; 1902016948
134217728; 2097152; 1732065143
134217728; 4194304; 1765790396
134217728; 8388608; 1644361613
134217728; 16777216; 1579840600
134217728; 33554432; 1607061130
134217728; 67108864; 1465507023
134217728; 134217728; 1161434796
268435456; 256; 23643547
268435456; 512; 44350393
268435456; 1024; 84482034
268435456; 2048; 157642774
268435456; 4096; 276904868
268435456; 8192; 473439906
268435456; 16384; 781634185
268435456; 32768; 1134417265
268435456; 65536; 1642254044
268435456; 131072; 1920386430
268435456; 262144; 2083406400
268435456; 524288; 2168570830
268435456; 1048576; 2028852579
268435456; 2097152; 1781369469
268435456; 4194304; 1810810513
268435456; 8388608; 1818095627
268435456; 16777216; 1739574340
268435456; 33554432; 1649920440
268435456; 67108864; 1592696493
268435456; 134217728; 1563812518
268435456; 268435456; 1280025635
