Buffer Size; Block Size; Velocity
65536;8;122154706
65536;16;310597156
65536;32;655360000
65536;64;1297742574
65536;128;2259862068
65536;256;4228129032
65536;512;6553599999
65536;1024;9362285714
65536;2048;11915636363
65536;4096;11915636363
65536;8192;11915636363
65536;16384;8738133333
65536;32768;5698782608
65536;65536;4228129032
131072;8;118082882
131072;16;283092872
131072;32;582542222
131072;64;1165084444
131072;128;2001099236
131072;256;3449263157
131072;512;5461333333
131072;1024;7943757575
131072;2048;9362285714
131072;4096;11397565217
131072;8192;11397565217
131072;16384;9709037037
131072;32768;9709037037
131072;65536;9039448275
131072;131072;1807889655
262144;8;101625896
262144;16;303407407
262144;32;673026957
262144;64;1304199004
262144;128;2340571428
262144;256;4297442622
262144;512;6636556962
262144;1024;10082461538
262144;2048;11915636363
262144;4096;14169945945
262144;8192;13797052631
262144;16384;11650844444
262144;32768;11915636363
262144;65536;13797052631
262144;131072;4899887850
262144;262144;4599017543
524288;8;125623098
524288;16;381994899
524288;32;709936357
524288;64;1387005291
524288;128;2582699507
524288;256;4262504065
524288;512;7084972972
524288;1024;9892226415
524288;2048;12052597701
524288;4096;13273113924
524288;8192;13797052631
524288;16384;12336188235
524288;32768;12945382716
524288;65536;10810061855
524288;131072;6061132947
524288;262144;6204591715
524288;524288;3653574912
1048576;8;127548473
1048576;16;339619757
1048576;32;718448783
1048576;64;1419872714
1048576;128;2560625152
1048576;256;4702134529
1048576;512;7973961977
1048576;1024;11848316384
1048576;2048;13617870129
1048576;4096;17189770491
1048576;8192;16256992248
1048576;16384;13617870129
1048576;32768;13888423841
1048576;65536;13273113924
1048576;131072;7973961977
1048576;262144;8256503937
1048576;524288;6574144200
1048576;1048576;4202709418
2097152;8;128215204
2097152;16;329844605
2097152;32;710297036
2097152;64;1428577656
2097152;128;2623079424
2097152;256;4500326180
2097152;512;6668209856
2097152;1024;9198035087
2097152;2048;10058282973
2097152;4096;11814940845
2097152;8192;11715932960
2097152;16384;9137917211
2097152;32768;9868950588
2097152;65536;9731563805
2097152;131072;7516673835
2097152;262144;7639897996
2097152;524288;5991862857
2097152;1048576;4433725158
2097152;2097152;2098201100
4194304;8;131873543
4194304;16;336662037
4194304;32;697481333
4194304;64;1479472310
4194304;128;2435009579
4194304;256;4396545073
4194304;512;6030631200
4194304;1024;7760044403
4194304;2048;8112773694
4194304;4096;8683859213
4194304;8192;9788340723
4194304;16384;9642078160
4194304;32768;9010320085
4194304;65536;9167877595
4194304;131072;7928741020
4194304;262144;7564119026
4194304;524288;7403890556
4194304;1048576;6302485349
4194304;2097152;3473543685
4194304;4194304;2881692889
8388608;8;139431344
8388608;16;354084166
8388608;32;747281457
8388608;64;1400084786
8388608;128;2294477024
8388608;256;3262780241
8388608;512;5039716431
8388608;1024;5801250345
8388608;2048;4793490285
8388608;4096;7005100626
8388608;8192;9377985466
8388608;16384;9457280721
8388608;32768;8599290620
8388608;65536;5673728779
8388608;131072;8692858031
8388608;262144;8224125490
8388608;524288;6808935064
8388608;1048576;6257820216
8388608;2097152;4048555984
8388608;4194304;3546980126
8388608;8388608;2482571174
16777216;8;144317034
16777216;16;368175735
16777216;32;599036526
16777216;64;1436589973
16777216;128;2178576288
16777216;256;2613680635
16777216;512;2987928049
16777216;1024;3603740951
16777216;2048;3430222040
16777216;4096;3737822435
16777216;8192;3842257185
16777216;16384;4340806209
16777216;32768;4010330106
16777216;65536;4087019732
16777216;131072;4533770031
16777216;262144;4289202607
16777216;524288;3958757904
16777216;1048576;3609555938
16777216;2097152;4314017999
16777216;4194304;3916250233
16777216;8388608;3413819513
16777216;16777216;2369161335
33554432;8;145489371
33554432;16;376453524
33554432;32;758095229
33554432;64;1382433750
33554432;128;2319938604
33554432;256;2979834998
33554432;512;3602386816
33554432;1024;3786327239
33554432;2048;3753712048
33554432;4096;4379330723
33554432;8192;4485286993
33554432;16384;4448419992
33554432;32768;4290299450
33554432;65536;4356021290
33554432;131072;4801378264
33554432;262144;4935201058
33554432;524288;4523989753
33554432;1048576;4460839138
33554432;2097152;3839838873
33554432;4194304;3586216213
33554432;8388608;3426893938
33554432;16777216;2861907288
33554432;33554432;2064443473
67108864;8;146353507
67108864;16;377946092
67108864;32;806863614
67108864;64;1583989048
67108864;128;2539933917
67108864;256;3184741078
67108864;512;3884176761
67108864;1024;4225067774
67108864;2048;4539136528
